Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
132	TBase_vacc	Vaccination Table	hib1	Date of HIB1 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
133	TBase_vacc	Vaccination Table	hib2	Date of HIB2 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
134	TBase_vacc	Vaccination Table	hib3	Date of HIB3 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
135	TBase_vacc	Vaccination Table	yellow_fever	Date of yellow fever vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
136	TBase_vacc	Vaccination Table	measles	Date of measles vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
137	TBase_vacc	Vaccination Table	vitamin_a	Vitamin A in last 12 months	Catégorielle (codes)	1=Yes | 2=No | 3=Don’t know | 99=Missing value
138	TBase_vacc	Vaccination Table	disinfest	Disinfested in last 12 months	Catégorielle (codes)	1=Yes | 2=No | 3=Don’t know | 99=Missing value
139	TBase_vacc	Vaccination Table	entry_date	Interview date	Date	
140	TBase_HistMig	Migratory Event	observeid	OBSERVATION ID	Identifiant	
141	TBase_HistMig	Migratory Event	socialgpid	HOUSEHOLD ID	Identifiant	
142	TBase_HistMig	Migratory Event	individid	INDIVIDUAL ID	Identifiant	
143	TBase_HistMig	Migratory Event	birth_place	Place of birth	Catégorielle (codes)	1=Ouagadougou | 2=Other town in Burkina | 3=Rural area in Burkina | 4=Côte d’Ivoire | 5=Other African country | 6=Other country (no Africa) 7 Don’t know 8 In this location | 99=Missing value
144	TBase_HistMig	Migratory Event	birth_place_sect	District of Birth	Texte / Numérique	
145	TBase_HistMig	Migratory Event	birth_place_prov	Province of birth	Texte / Numérique	
146	TBase_HistMig	Migratory Event	arrive_year	Year of First arrival in Ouaga	Texte / Numérique	
147	TBase_HistMig	Migratory Event	where_lived	Place of residence prior to arriving for the first time in this location (courtyard)	Catégorielle (codes)	1=Ouagadougou | 2=Other town in Burkina | 3=Rural area in Burkina | 4=Côte d’Ivoire | 5=Other African country | 6=Other country (no Africa) 7 Don’t know 8 In this location | 99=Missing value
148	TBase_HistMig	Migratory Event	where_lived_sect	District of residence before arriving in this location (courtyard)	Catégorielle (codes)	0. Not concerned
149	TBase_HistMig	Migratory Event	where_lived_prov	Province of residence before arriving in this location (courtyard)	Catégorielle (codes)	0. Not concerned
150	TBase_HistMig	Migratory Event	return_lastplace	Stayed during at least three months last year in one of its previous residences	Catégorielle (codes)	1=Yes | 2=No | 3=Don’t know | 99=Missing value | 0=Not concerned
151	TBase_HistMig	Migratory Event	arrive_uch_year	Year of o first arrival live in this location (courtyard)	Texte / Numérique	
152	TBase_HistMig	Migratory Event	last_livedplace	Place of residence prior to arriving for the first time in Ouaga	Catégorielle (codes)	2=Other town in Burkina | 3=Rural area in Burkina | 4=Côte d’Ivoire | 5=Other African country | 6=Other country (no Africa) 7 Don’t know | 99=Missing value | 0=Not concerned
153	TBase_HistMig	Migratory Event	last_livedplace_prov	Province of residence before arriving in Ouagadougou for the first time	Catégorielle (codes)	0. Not concerned
154	TBase_HistMig	Migratory Event	reason_outp	Reason for leaving the previous place of residence (by category)	Catégorielle (codes)	1 for family reasons 2 for security reasons 3 due to habitat characteristics 4 due to an employment 5 for cost reasons 6 for health reason 7 for education reasons 8 due to a conflict 9 other reasons | 99=Missing value | 0=Not concerned
155	TBase_HistMig	Migratory Event	reason_outs	Reason for leaving the previous place of residence (detailed)	Catégorielle (codes)	11=one of family member or friend has gone | 12=married | 13=moved with his family / parent | 14=divorced / separated or became widower | 15=took its independence from the family | 16=left in some body's care | 17=other family reasons 21 insecurity (crime, burglary) | 22=other security reason | 31=poor habitat(floor, wall, roof) | 32=poor conditions of toilet / bathroom / electricity 33 rooms / too small houses | 34=damaged house | 35=construction of a new home | 36=other reason related to habitat | 41=lost a job | 42=little employment prospects | 43=too far from the workplace | 44=no land to cultivate | 45=other reason related to employment | 51=rent too high | 52=too expensive food | 53=health fees too high | 54=schooling fees too high | 55=other cost reasons | 61=poor health services | 62=dirty environment | 63=health other reason | 71=for schooling (primary or secondary) | 72=for schooling University / professional school | 73=finished school (primary or secondary) | 74=finished school (University / professional school) | 75=other reason linked to education | 81=conflict with a family member / friend | 82=civil conflict | 83=banished | 84=other reason related to a conflict | 91=just for changing | 92=other | 93=Don’t know | 99=Missing value | 0=Not concerned
